,EBARS.1,EBARS.2,EBARS.3,BARS,TPS,TEP
Case 1,0.064(0.011),0.066(0.016),0.065(0.014),0.107(0.027),0.064(0.013),0.063(0.014)
Case 2,0.355(0.051),0.326(0.056),0.306(0.058),0.416(0.094),0.275(0.028),0.304(0.037)
Case 3,0.23(0.061),0.222(0.053),0.242(0.067),0.313(0.074),1.224(0.312),1.283(0.368)
Case 4,0.331(0.077),0.343(0.078),0.336(0.058),1.02(0.51),1.729(0.208),1.934(0.278)
