"","Case.1.Knot.1","Case.2.Knot.1","Case.2.Knot.2","Case.3.Knot.1","Case.3.Knot.2","Case.3.Knot.3","Case.3.Knot.4"
"EBARS","0.0097(0.0076)","0.0095(0.0065)","0.0142(0.0122)","0.0025(0.0029)","0.0026(0.0025)","0.0194(0.0172)","0.015(0.0137)"
"LSE","0.0075(0.006)","0.0068(0.0058)","0.0102(0.0076)","0.2737(0.4266)","0.1725(0.1683)","0.1065(0.18)","0.2131(0.5211)"
"Segmented","0.0079(0.0061)","0.007(0.0059)","0.0113(0.0081)","0.0171(0.0346)","0.0283(0.0775)","0.0395(0.0825)","0.0349(0.0805)"
