"","EBARS.1","EBARS.2","EBARS.3","BARS","Smooth.Spline"
"Case 1","0.181(0.124)","0.23(0.136)","0.341(0.229)","0.178(0.15)","0.137(0.088)"
"Case 2","0.332(0.118)","0.389(0.184)","0.464(0.201)","0.368(0.139)","0.329(0.132)"
"Case 3","0.828(0.529)","1.412(0.783)","1.96(0.985)","0.731(0.403)","3.772(1.687)"
"Case 4","0.37(0.366)","0.368(0.15)","0.418(0.155)","3.003(0.504)","0.443(0.155)"
