,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
samples,0.039577222278704714,0.0399464007274139,0.03952863570967782,0.03919629557106517,0.04024311794965703,0.041108613200622014,0.03863158742919369,0.03974936788162941,0.03777675405529622,0.0397353201620728,0.040690919274063674,0.042656091213047025,0.039028800796013584,0.03956197166947828,0.03907408006715438,0.039035697460776494,0.043799285753465755,0.040703547223764555,0.039774077449987816,0.039168650346406125
tsme,0.0008856751777713259,0.004372116355026591,0.0023970024178394896,0.0034042143511986652,0.006625152791231696,0.001251511742888548,0.003951617610748665,0.0035949181525102084,0.007446301424914121,0.0025208285982633127,0.0030839353063725513,0.004105244698840289,0.0010640579240709341,0.0026981938864201914,0.014154568790085989,0.0026004009697342934,0.011194516462430689,0.004934872905996605,0.0019368428909633223,0.005433312531946872
yx19,0.0017077281923394048,0.00209534607917215,0.0014293929752975474,0.0013398114197849748,0.001665106873319023,0.003172703907885142,0.001920952139581359,0.0019828302334808996,0.0017837490573613445,0.0018870132511707282,0.0011782535371611237,0.0021809149089209987,0.001688294222413259,0.0017282585359516384,0.0016070197880311094,0.0017588858391388367,0.0015144022698142124,0.002481073900805194,0.0017792815437749421,0.0015550709179437462
cf18,0.002048098339386821,0.002406871072187212,0.0015926461947187592,0.0017004469369243029,0.0021632887824744275,0.005162484609929633,0.0020856706773426503,0.0023036477135188515,0.0023832141495645025,0.0026219809244257784,0.0018953445108210955,0.0023829926209353045,0.0020782987217375774,0.001967780742326568,0.0018513461222807415,0.0025300261787493464,0.0024979600239403857,0.0020582931152564907,0.0027291465808256827,0.0022991923225158975
pme,0.6475302447145732,0.12477238501900956,0.20154329101408527,0.24455957048601454,0.17467954344324998,0.32705099162193196,0.28647367005123264,0.3428240129175,0.24454468076460456,0.58711566008397,0.2755756954083449,0.19155293999088865,0.2972788090788883,0.20551775473268208,0.1935134649591862,0.3959444965523807,0.362744292304086,0.35151074505478735,0.2851017173105935,0.5303590879434265
pc,0.7561637407655865,0.7554316478154289,0.7676973900438615,0.7499245768516557,0.765771402557248,0.7603904928996458,0.7622509378692585,0.7503118194901968,0.7429465207080111,0.7593941710453104,0.7676201163727007,0.7626048076055549,0.7556078256542823,0.7564594212705297,0.7567833771486132,0.772387898690007,0.767469898352242,0.7526854633733026,0.7635124756039816,0.7521864331900799
